vehicle_type,vehicle_accidents
Car,774221
Pedal cycle,90329
Van / Goods 3.5 tonnes mgw or under,60583
Motorcycle 125cc and under,40966
Motorcycle over 500cc,27654
Taxi/Private hire car,23098
Bus or coach (17 or more pass seats),20624
Goods 7.5 tonnes mgw and over,17817
Motorcycle over 125cc and up to 500cc,10658
Motorcycle 50cc and under,8018
Other vehicle,6889
Goods over 3.5t. and under 7.5t,5629
Goods vehicle - unknown weight,5547
Agricultural vehicle,2386
Motorcycle - unknown cc,1964
Minibus (8 - 16 passenger seats),1950
Mobility scooter,1184
Ridden horse,434
Electric motorcycle,323
Tram,98
